1.22419 245.992 0 244 14.8564 0 22 24.5968 27 0 1.48667 1 0  - 0.991901 1.48084 1.0977 0.672644 
1.25558 245.992 0 254 14.8564 0 18 24.5968 22 0 1.48667 1 0  - 1.03255 1.2116 0.894426 0.672644 
1.28697 245.992 0 243 14.8564 0 14 24.5968 30 0 1.48667 4 0  - 0.987836 0.942355 1.21967 2.69057 
1.31836 245.992 0 264 14.8564 0 16 24.5968 20 0 1.48667 2 0  - 1.0732 1.07698 0.813115 1.34529 
1.34975 245.992 0 238 14.8564 0 24 24.5968 27 0 1.48667 1 0  - 0.96751 1.61547 1.0977 0.672644 
1.38114 245.992 0 246 14.8564 0 18 24.5968 25 0 1.48667 1 0  - 1.00003 1.2116 1.01639 0.672644 
1.41253 245.992 0 244 14.8564 0 7 24.5968 25 0 1.48667 1 0  - 0.991901 0.471177 1.01639 0.672644 
1.44392 245.992 0 256 14.8564 0 16 24.5968 20 0 1.48667 1 0  - 1.04068 1.07698 0.813115 0.672644 
1.47531 245.992 0 239 14.8564 0 16 24.5968 30 0 1.48667 0 0  - 0.971575 1.07698 1.21967 0 
1.5067 245.992 0 250 14.8564 0 13 24.5968 19 0 1.48667 0 0  - 1.01629 0.875044 0.772459 0 
1.53809 245.992 0 246 14.8564 0 14 24.5968 27 0 1.48667 0 0  - 1.00003 0.942355 1.0977 0 
1.56948 245.992 0 239 14.8564 0 15 24.5968 25 0 1.48667 3 0  - 0.971575 1.00967 1.01639 2.01793 
1.60086 245.992 0 252 14.8564 0 23 24.5968 26 0 1.48667 2 0  - 1.02442 1.54815 1.05705 1.34529 
1.63225 245.992 0 238 14.8564 0 12 24.5968 25 0 1.48667 2 0  - 0.96751 0.807733 1.01639 1.34529 
1.66364 245.992 0 238 14.8564 0 18 24.5968 25 0 1.48667 1 0  - 0.96751 1.2116 1.01639 0.672644 
1.69503 245.992 0 244 14.8564 0 17 24.5968 22 0 1.48667 1 0  - 0.991901 1.14429 0.894426 0.672644 
1.72642 245.992 0 253 14.8564 0 12 24.5968 23 0 1.48667 0 0  - 1.02849 0.807733 0.935082 0 
1.75781 245.992 0 244 14.8564 0 10 24.5968 28 0 1.48667 1 0  - 0.991901 0.67311 1.13836 0.672644 
1.7892 245.992 0 249 14.8564 0 15 24.5968 26 0 1.48667 4 0  - 1.01223 1.00967 1.05705 2.69057 
1.82059 245.992 0 243 14.8564 0 8 24.5968 21 0 1.48667 4 0  - 0.987836 0.538488 0.85377 2.69057 
